                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.6403,                 4.1967,                 2.1334,                0.09903,                0.13234,                0.04036,                0.01305,                 2.4411,                 7.8937,                 2.1803,                0.08614,                0.00014,                0.00014
                      2,                 2.1258,                 2.3782,                 1.7629,                0.12223,                0.21342,                0.07841,                0.02757,                 2.3621,                  3.064,                 1.9948,                0.07128,             0.00028043,             0.00028043
                      3,                 2.0708,                 2.2179,                 1.7869,                0.10929,                 0.1603,                0.06154,                0.02109,                 2.3826,                 5.0642,                 2.1214,               0.056411,             0.00041096,             0.00041096
                      4,                 2.0652,                  2.185,                   1.81,                0.09966,                0.14445,                0.05701,                0.01973,                   2.33,                 5.0454,                 2.1628,               0.041532,             0.00053159,             0.00053159
                      5,                  2.028,                  2.112,                 1.7283,                0.18925,                0.13607,                0.08443,                0.02932,                 2.2961,                 4.1475,                 2.0209,               0.026642,             0.00064232,             0.00064232
                      6,                 2.0272,                 2.1121,                 1.7022,                0.15782,                 0.2712,                0.11293,                0.03973,                 2.2155,                 4.1602,                 1.9006,               0.011743,             0.00074315,             0.00074315
                      7,                 1.9913,                 2.0447,                 1.6607,                0.21315,                0.26747,                0.13544,                0.04927,                 2.2826,                 2.7729,                  1.937,               0.000802,               0.000802,               0.000802
                      8,                 2.0062,                 2.0505,                 1.7218,                0.17862,                0.26095,                0.11545,                0.04164,                 2.3106,                 3.2026,                 1.9542,               0.000769,               0.000769,               0.000769
                      9,                 2.0233,                 2.1121,                 1.7241,                0.15565,                0.27679,                0.10973,                0.03973,                 2.2194,                 3.0615,                 1.8326,               0.000736,               0.000736,               0.000736
                     10,                 1.9941,                 2.0173,                 1.7009,                0.12237,                0.29543,                0.08749,                0.03075,                 2.2781,                 3.6809,                 1.9561,               0.000703,               0.000703,               0.000703
                     11,                 1.9951,                 2.0366,                 1.6841,                0.16743,                 0.2945,                 0.1084,                0.03803,                 2.2598,                 2.7313,                 1.8961,                0.00067,                0.00067,                0.00067
                     12,                  2.007,                 2.0179,                 1.6953,                0.26902,                0.28052,                 0.1666,                0.05887,                  2.218,                 2.3655,                 1.8683,               0.000637,               0.000637,               0.000637
                     13,                 1.9947,                 1.9594,                 1.6626,                0.26183,                0.28611,                0.17472,                0.06015,                 2.2656,                 2.3724,                 1.9274,               0.000604,               0.000604,               0.000604
                     14,                 1.9404,                 1.9602,                 1.6394,                0.25168,                0.29077,                  0.173,                0.06179,                 2.2074,                 2.3489,                 1.8844,               0.000571,               0.000571,               0.000571
                     15,                 1.9546,                 1.9049,                 1.6208,                0.31057,                0.32432,                0.21463,                 0.0733,                 2.2428,                 2.1023,                 1.8543,               0.000538,               0.000538,               0.000538
                     16,                 1.8485,                  1.891,                 1.6076,                0.30263,                0.31128,                0.21729,                0.07795,                 2.2191,                 2.1667,                 1.8049,               0.000505,               0.000505,               0.000505
                     17,                 1.8811,                 1.9013,                 1.6027,                  0.307,                0.29171,                0.21469,                0.07806,                 2.2038,                 2.1652,                 1.8021,               0.000472,               0.000472,               0.000472
                     18,                 1.8649,                 1.9009,                  1.596,                0.29194,                  0.315,                0.23663,                0.08784,                 2.1917,                 2.0706,                 1.7702,               0.000439,               0.000439,               0.000439
                     19,                 1.8491,                 1.8417,                 1.5871,                  0.315,                0.33271,                0.23458,                0.08801,                 2.1166,                 2.0981,                 1.7363,               0.000406,               0.000406,               0.000406
                     20,                 1.8073,                 1.8044,                 1.5611,                0.32395,                0.32805,                0.23672,                0.08983,                 2.1376,                 2.0735,                 1.7723,               0.000373,               0.000373,               0.000373
                     21,                 1.9504,                 1.9939,                 1.6482,                 0.3422,                0.29357,                 0.2297,                 0.0883,                 2.0844,                 2.1266,                 1.7227,                0.00034,                0.00034,                0.00034
                     22,                 1.8938,                 1.9154,                 1.5962,                0.34868,                0.29543,                0.24768,                0.09724,                 2.1131,                 2.0905,                  1.721,               0.000307,               0.000307,               0.000307
                     23,                 1.8901,                 1.8442,                 1.5755,                0.35949,                0.32954,                0.25995,                0.09824,                 2.0996,                 2.0202,                 1.6885,               0.000274,               0.000274,               0.000274
                     24,                 1.8377,                 1.9506,                 1.5782,                0.34532,                0.34203,                0.26924,                0.10118,                  2.101,                 1.9873,                 1.7019,               0.000241,               0.000241,               0.000241
                     25,                 1.8698,                 1.8817,                 1.5929,                0.33899,                0.32339,                 0.2558,                0.09938,                 2.1049,                 2.0334,                 1.7268,               0.000208,               0.000208,               0.000208
                     26,                 1.8607,                 1.7774,                 1.5746,                0.34893,                0.32153,                0.25571,                0.09969,                 2.1304,                 2.0552,                 1.7513,               0.000175,               0.000175,               0.000175
                     27,                 1.8203,                 1.7179,                  1.547,                0.34771,                0.33178,                0.25637,                0.10069,                 2.1301,                 2.0253,                 1.7472,               0.000142,               0.000142,               0.000142
                     28,                 1.8331,                 1.7083,                 1.5533,                0.35051,                0.33924,                0.25445,                0.09917,                 2.1229,                 2.0212,                 1.7355,               0.000109,               0.000109,               0.000109
                     29,                 1.7499,                 1.6629,                 1.5006,                0.36001,                0.32819,                0.26155,                0.10041,                 2.1233,                  2.013,                 1.7286,                7.6e-05,                7.6e-05,                7.6e-05
                     30,                 1.7898,                 1.6389,                 1.5154,                0.36467,                0.33085,                 0.2721,                0.10573,                 2.1096,                  1.997,                 1.7176,                4.3e-05,                4.3e-05,                4.3e-05
